num_cities,density,alpha,beta,baseline_cost,solution_cost,improvement_percent,time_taken_sec,errors
200,0.1,2,1,97636.37,97579.92,0.06,10.55,-
200,0.1,2,2,33075649.52,124527.22,99.62,42.85,-
200,0.1,2,5,5683113746072198.00,83942.46,100.00,33.98,-
200,0.1,5,0.1,1119.15,749.96,32.99,9.71,-
200,0.1,5,1,243789.94,243733.49,0.02,10.52,-
200,0.1,5,2,206721756.04,316168.44,99.85,102.87,-
200,0.1,5,5,554991576764843456.00,234348.05,100.00,389.35,-
200,0.2,0.1,0.1,688.74,465.96,32.35,9.30,-
200,0.2,0.1,1,4387.62,4348.73,0.89,10.39,-
200,0.2,0.1,2,76519.58,5015.39,93.45,39.11,-
200,0.2,0.1,5,1996889329.63,3316.35,100.00,34.52,-
200,0.2,1,0.1,822.26,550.59,33.04,8.85,-
200,0.2,1,1,42318.66,42279.80,0.09,10.42,-
200,0.2,1,2,7634824.48,50071.91,99.34,42.61,-
200,0.2,1,5,199688915656538.72,32918.21,100.00,34.52,-
200,0.2,2,0.1,868.86,585.73,32.59,9.21,-
200,0.2,2,1,84464.26,84425.40,0.05,10.55,-
200,0.2,2,2,30538778.72,99783.79,99.67,56.71,-
200,0.2,2,5,6390045301003876.00,65887.39,100.00,39.14,-
200,0.2,5,0.1,935.63,619.75,33.76,9.37,-
200,0.2,5,1,210901.04,210862.18,0.02,10.62,-
200,0.2,5,2,190866458.38,249405.70,99.87,47.12,-
200,0.2,5,5,624027861426143104.00,156524.56,100.00,228.87,-
200,0.5,0.1,0.1,519.77,381.56,26.59,10.59,-
200,0.5,0.1,1,3870.69,3848.80,0.57,11.97,-
200,0.5,0.1,2,84366.68,3873.03,95.41,58.72,-
200,0.5,0.1,5,3536576781.25,2572.70,100.00,41.97,-
200,0.5,1,0.1,614.74,454.71,26.03,10.64,-
200,0.5,1,1,37330.08,37307.38,0.06,12.00,-
200,0.5,1,2,8421523.23,38201.53,99.55,80.90,-
200,0.5,1,5,353657662827394.50,25591.22,100.00,65.12,-
200,0.5,2,0.1,647.88,481.63,25.66,11.13,-
200,0.5,2,1,74507.18,74485.29,0.03,12.29,-
200,0.5,2,2,33685633.97,76436.44,99.77,67.19,-
200,0.5,2,5,11317045210471866.00,51168.48,100.00,54.65,-
200,0.5,5,0.1,695.37,518.13,25.49,11.06,-
200,0.5,5,1,186038.47,186016.58,0.01,12.34,-
200,0.5,5,2,210534409.18,188310.72,99.91,53.19,-
200,0.5,5,5,1105180196335128576.00,118181.42,100.00,131.97,-
200,1.0,0.1,0.1,407.72,357.54,12.31,13.82,-
200,1.0,0.1,1,3785.78,3783.57,0.06,16.00,-
200,1.0,0.1,2,100022.32,3275.17,96.73,70.16,-
200,1.0,0.1,5,4695074117.81,2311.68,100.00,58.03,-
200,1.0,1,0.1,474.30,425.12,10.37,13.33,-
200,1.0,1,1,36502.65,36501.13,0.00,16.30,-
200,1.0,1,2,9987325.62,32685.31,99.67,75.13,-
200,1.0,1,5,469507396723907.81,23089.34,100.00,64.02,-
200,1.0,2,0.1,497.54,444.90,10.58,13.36,-
200,1.0,2,1,72854.73,72854.73,0.00,16.81,-
200,1.0,2,2,39948850.77,65374.59,99.84,110.58,-
200,1.0,2,5,15024236695160376.00,46156.22,100.00,84.42,-
200,1.0,5,0.1,530.83,479.58,9.66,14.08,-
200,1.0,5,1,181910.97,181910.97,0.00,16.76,-
200,1.0,5,2,249679526.83,160350.85,99.94,186.73,-
200,1.0,5,5,1467210614761742592.00,105389.91,100.00,190.68,-
1000,0.1,0.1,0.1,3791.39,2854.73,24.71,169.98,-
1000,0.1,0.1,1,21005.40,20797.87,0.99,169.72,-
1000,0.1,0.1,2,351149.04,18431.80,94.75,366.81,-
1000,0.1,0.1,5,12069025293.88,16396.72,100.00,97.46,-
1000,0.1,1,0.1,4563.99,3393.38,25.65,197.43,-
1000,0.1,1,1,202786.07,202578.55,0.10,177.61,-
1000,0.1,1,2,35034957.63,184173.34,99.47,376.51,-
1000,0.1,1,5,1206902448634347.75,163438.11,100.00,102.44,-
1000,0.1,2,0.1,4833.60,3581.24,25.91,200.77,-
1000,0.1,2,1,404764.60,404557.08,0.05,198.69,-
1000,0.1,2,2,140137407.90,368347.98,99.74,383.88,-
1000,0.1,2,5,38620878356274040.00,326770.91,100.00,105.64,-
1000,0.1,5,0.1,5219.93,3856.79,26.11,193.01,-
1000,0.1,5,1,1010700.19,1010492.67,0.02,191.28,-
1000,0.1,5,2,875854559.75,920908.80,99.89,398.00,-
1000,0.1,5,5,3771570151979816960.00,1124713.90,100.00,111.36,-
1000,0.2,0.1,0.1,3369.43,2523.46,25.11,278.82,-
1000,0.2,0.1,1,20239.77,20063.41,0.87,272.70,-
1000,0.2,0.1,2,376228.70,15036.22,96.00,592.22,-
1000,0.2,0.1,5,15751637990.25,15298.76,100.00,103.52,-
1000,0.2,1,0.1,4040.62,3004.11,25.65,281.12,-
1000,0.2,1,1,195402.96,195226.59,0.09,274.26,-
1000,0.2,1,2,37545927.70,150182.53,99.60,556.54,-
1000,0.2,1,5,1575163721306340.75,152734.06,100.00,112.28,-
1000,0.2,2,0.1,4274.85,3185.30,25.49,266.71,-
1000,0.2,2,1,390028.72,389852.36,0.05,258.92,-
1000,0.2,2,2,150181379.22,300362.98,99.80,576.10,-
1000,0.2,2,5,50405239081778800.00,305561.23,100.00,115.50,-
1000,0.2,5,0.1,4610.48,3424.03,25.73,289.40,-
1000,0.2,5,1,973906.01,973729.64,0.02,279.65,-
1000,0.2,5,2,938629539.87,750899.30,99.92,637.46,-
1000,0.2,5,5,4922386629079878656.00,1030675.29,100.00,121.35,-
1000,0.5,0.1,0.1,2665.85,2101.38,21.17,587.49,-
1000,0.5,0.1,1,20015.38,19893.35,0.61,571.98,-
1000,0.5,0.1,2,469273.53,12313.31,97.38,1103.14,-
1000,0.5,0.1,5,24951752914.73,14712.10,100.00,136.35,-
1000,0.5,1,0.1,3157.23,2489.22,21.16,557.50,-
1000,0.5,1,1,193240.97,193120.07,0.06,572.56,-
1000,0.5,1,2,46851312.28,122989.83,99.74,1097.57,-
1000,0.5,1,5,2495175214664282.50,146839.81,100.00,159.85,-
1000,0.5,2,0.1,3328.70,2628.32,21.04,572.88,-
1000,0.5,2,1,385713.84,385592.94,0.03,586.50,-
1000,0.5,2,2,187402944.86,245977.66,99.87,1071.01,-
1000,0.5,2,5,79845606869233392.00,293811.83,100.00,163.69,-
1000,0.5,5,0.1,3574.42,2817.62,21.17,561.63,-
1000,0.5,5,1,963132.46,963011.56,0.01,577.36,-
1000,0.5,5,2,1171264372.87,614936.05,99.95,1149.82,-
1000,0.5,5,5,7797422545823505408.00,951611.23,100.00,171.33,-
1000,1.0,0.1,0.1,2060.07,1974.88,4.14,1128.86,-
1000,1.0,0.1,1,19983.77,19979.43,0.02,1129.23,-
1000,1.0,0.1,2,576559.35,10552.42,98.17,2318.83,-
1000,1.0,0.1,5,37984221900.76,14552.88,100.00,202.16,-
1000,1.0,1,0.1,2394.93,2310.56,3.52,1099.81,-
1000,1.0,1,1,192936.23,192935.07,0.00,1147.19,-
1000,1.0,1,2,57580018.87,105246.65,99.82,2053.19,-
1000,1.0,1,5,3798422113393741.00,145291.06,100.00,244.10,-
1000,1.0,2,0.1,2511.78,2432.53,3.16,1133.57,-
1000,1.0,2,1,385105.64,385105.51,0.00,1169.79,-
1000,1.0,2,2,230317775.00,210490.58,99.91,2036.79,-
1000,1.0,2,5,121549507628576096.00,290588.38,100.00,257.58,-
1000,1.0,5,0.1,2679.23,2594.45,3.16,1135.08,-
1000,1.0,5,1,961613.86,961613.86,0.00,1184.35,-
1000,1.0,5,2,1439482067.89,526223.93,99.96,2104.73,-
1000,1.0,5,5,11870069104353064960.00,938586.78,100.00,263.21,-
